centroid_x,centroid_y,contour_area,countour_perimeter,ellipse_center_x,ellipse_center_y,eccentricity
47,47,8645.0,374.48528122901917,47.51337814331055,47.49665069580078,0.031425182777391182
49,46,7751.0,835.5878744125366,49.04082489013672,46.49848937988281,0.49350720894657629
47,49,7132.5,839.2863587141037,47.237335205078125,46.26290512084961,0.4927000376432466
49,46,7450.5,803.2619735002518,49.13623046875,43.62892150878906,0.59543335665878572
48,48,7011.0,1407.803165435791,47.6334342956543,48.470298767089844,0.57202245510855687
47,47,8498.5,472.6690467596054,45.422672271728516,46.7773551940918,0.41115705078216636
47,47,8649.0,372.0,47.5,47.5,0.0
48,45,8134.0,549.622364282608,49.94025421142578,45.2805290222168,0.41405559917666901
52,46,6660.5,643.7472547292709,53.88101577758789,43.50348663330078,0.67700039109720855
44,43,7256.5,808.1736608743668,44.66046905517578,43.994789123535156,0.52969704368084913
47,47,8584.5,414.87005722522736,47.86709213256836,46.984947204589844,0.21741660668237192
47,45,7547.5,540.4091612100601,46.81745147705078,44.154388427734375,0.29857577393000595
45,46,8309.5,498.32590091228485,46.862770080566406,47.486209869384766,0.3258076311337193
52,47,6821.0,591.5634891986847,52.810150146484375,45.230979919433594,0.66430908016701729
49,47,7764.0,774.0487704277039,48.824790954589844,45.07969665527344,0.57217510221758594
46,48,8318.5,507.2964633703232,45.455665588378906,48.481388092041016,0.39502801284411165
47,47,8649.0,372.0,47.5,47.5,0.0
47,47,8627.0,386.48528122901917,47.1102294921875,47.44741439819336,0.21448369935684269
44,47,8112.0,655.1370830535889,45.8438720703125,47.296077728271484,0.48779208895377651
50,45,8028.0,670.0487704277039,49.60284423828125,47.42437744140625,0.44917968449580681
49,62,4436.0,1060.7249574661255,46.86430740356445,43.3309326171875,0.60319694491094777
44,47,8070.0,655.9066350460052,45.98348617553711,47.675846099853516,0.45341240251014903
54,47,6965.0,649.445739030838,54.946510314941406,49.58267593383789,0.6118741946615891
47,46,8518.0,408.2842707633972,47.3516960144043,47.096065521240234,0.14817661428513793
46,43,7620.0,568.6518018245697,45.99808883666992,43.12073516845703,0.45102776445188081
47,47,8625.5,392.3847759962082,47.30341339111328,47.52845001220703,0.18721729245808502
